place_id,population
"24003","647"
"25017","276"
"43010","439"
"19019","14"
"10018","1835"
"42016","20"
"21002","21260"
"6009","264"
"20006","367"
"33001","1648"
"32001","6188"
"44021","125"
"33002","10613"
"31011","872"
"31012","968"
"44022","558"
"44023","26"
"25019","6791"
"29009","1811"
"13011","5312"
"41009","1355"
"13012","415"
"19020","57"
"13013","8896"
"42017","187"
"42018","132"
"2009","24419"
"24004","574"
"10019","1744"
"49007","407"
"16015","365"
"29010","1954"
"42019","591"
"26012","36"
"46032","7349"
"25020","307"
"42020","5489"
"12009","26270"
"42021","67"
"12010","254"
"13014","516"
"14004","2391"
"18016","365"
"49008","452"
"25021","3398"
"42022","228"
"12011","5998"
"47008","22"
"37027","262"
"37028","146"
"6010","1232"
"45011","313"
"6011","33474"
"21003","826"
"16016","247"
"41010","6080"
"4013","198533"
"46033","262"
"50021","25"
"4014","169"
"13015","6027"
"16017","390"
"14005","7937"
"29011","3715"
"19021","1289"
"44018","16"
"10020","1811"
"46034","2414"
"50022","553"
"50023","243"
"50024","735"
"45012","790"
"19022","685"
"16018","425"
"21004","1819"
"21005","24191"
"3015","20803"
"45013","2105"
"43011","1351"
"3016","113"
"22021","2379"
"18017","26514"
"50025","7951"
"22022","658"
"22023","460"
"13016","772"
"46035","8967"
"44019","64"
"19023","172"
"48912","2907"
"29012","12985"
"25022","130"
"21006","3923"
"19024","12735"
"29013","2051"
"17006","1580"
"29014","260"
"42023","62"
"50026","555"
"28010","14575"
"44020","22"
"8004","266"
"2010","2265"
"25023","6255"
"46036","633"
"18904","989"
"3017","493"
"46037","1476"
"12901","4449"
"22024","303"
"18018","601"
"4015","125"
"25024","405"
"9013","51"
"43012","5243"
"16019","190"
"3018","22290"
"22025","1417"
"9014","195"
"31010","7443"
"12012","3528"
"20906","183"
"20007","435"
"19027","153"
"46017","44352"
"5012","132"
"34009","35"
"50027","254"
"28011","592"
"17007","2298"
"15002","31793"
"31013","724"
"43013","6787"
"8005","8462"
"9016","107"
"20008","921"
"33003","661"
"32002","2280"
"48003","19339"
"48004","410"
"43906","3205"
"43014","20738"
"34010","605"
"39002","4288"
"1002","10350"
"34011","423"
"47009","103"
"44024","28"
"1049","156"
"40017","129"
"37029","201"
"28012","1271"
"13017","327"
"31014","337"
"49009","444"
"46038","319"
"20009","14637"
"44025","7472"
"31015","2743"
"7005","11271"
"23005","36793"
"40018","77"
"50028","106"
"17008","5599"
"25027","1363"
"19031","10"
"26013","433"
"22027","354"
"26014","497"
"19032","156"
"9017","136"
"39003","267"
"50029","706"
"46039","2628"
"20010","2090"
"50030","212"
"14006","1527"
"31018","581"
"45014","5154"
"37030","86"
"19033","50"
"19034","24"
"22028","405"
"31016","10833"
"4016","3182"
"27003","1976"
"46040","1175"
"29015","41239"
"35003","12461"
"24005","360"
"34012","363"
"22029","140"
"20011","2126"
"31017","482"
"31019","2695"
"37031","357"
"21007","8107"
"38004","5551"
"22032","115"
"41011","19526"
"40019","30"
"31020","512"
"48005","159"
"31025","933"
"20012","200"
"1003","1467"
"31021","72"
"42024","88"
"9018","32856"
"50031","152"
"50032","302"
"9019","160"
"16020","7"
"15003","1849"
"31023","10859"
"28013","59607"
"31024","116"
"31022","597"
"48006","395"
"12013","150"
"19036","380"
"37032","660"
"31026","153"
"46041","381"
"9020","306"
"9021","58"
"9022","71"
"19037","150"
"25029","2144"
"19038","22"
"31027","1104"
"36001","2580"
"43016","5517"
"4017","4596"
"43015","137"
"17009","6556"
"16905","1716"
"31028","262"
"37033","107"
"49010","420"
"30009","19301"
"29016","385"
"29017","8238"
"45015","883"
"37034","86"
"34015","41"
"40020","166"
"9023","1734"
"42025","1469"
"11006","30700"
"49011","221"
"16022","83"
"44026","119"
"31029","1134"
"29018","2500"
"50033","70"
"24006","560"
"48093","1201"
"31030","157"
"22035","313"
"5013","973"
"13903","589"
"29019","1156"
"39004","1679"
"13018","1011"
"5014","6377"
"18020","666"
"42026","21"
"9024","180"
"44027","211"
"8006","15776"
"8007","8931"
"26015","230"
"26016","29"
"15004","5732"
"12014","186"
"31031","279"
"20013","7128"
"5015","73"
"40021","20"
"5016","7986"
"42027","78"
"13019","6838"
"13020","5943"
"28014","55389"
"49012","80"
"24007","816"
"22036","95"
"19039","64"
"17010","397"
"12015","118"
"8008","217"
"44028","195"
"43017","124"
"8009","12452"
"45016","6418"
"39005","1748"
"31032","2272"
"22037","127"
"16024","136"
"49013","242"
"31033","51"
"7901","868"
"31034","33"
"38005","7988"
"9025","129"
"44029","724"
"50034","1115"
"23006","5542"
"23007","3575"
"9026","400"
"19040","59"
"31035","53"
"17011","930"
"37035","198"
"18021","24174"
"1006","227"
"40022","219"
"4018","302"
"19041","246"
"26017","419"
"26018","14875"
"43018","455"
"32003","1000"
"39006","2103"
"21008","3073"
"38006","81216"
"49014","117"
"23008","1734"
"49015","216"
"1037","726"
"16025","25"
"48009","968"
"20055","22001"
"48914","418"
"1008","980"
"9027","49"
"35004","62988"
"39007","452"
"25031","65"
"29020","4102"
"48010","586"
"48011","12160"
"13021","446"
"31036","1051"
"47010","20179"
"10021","5811"
"19042","22"
"6012","4107"
"23905","2288"
"10023","797"
"10022","443"
"21009","953"
"28015","31396"
"31037","110"
"26019","506"
"25032","84"
"7006","7845"
"31038","1675"
"12016","1947"
"31039","116"
"48023","736"
"15005","32262"
"35005","1069"
"8010","5698"
"25033","1504"
"25034","3432"
"50035","80"
